src,dst,proto,sport,dport,bytes,pkts,duration,iat_mean,iat_std,label
34.36.152.253,192.168.15.2,TLS,443,41184,8936,94,90.00857901573181,0.9678341829648582,0.17736071322609484,0
192.168.15.2,34.36.152.253,TCP,41184,443,6246,95,90.00856494903564,0.9575379249897409,0.19187118127060118,0
192.168.15.20,255.255.255.255,DATA,6537,6537,28784,112,297.30307602882385,2.6784060903497644,2.509675616550649,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2a03:2880:f205:c5:face:b00c:0:167,TLS,39212,443,9686,38,293.3930768966675,7.929542618828851,8.277249861539401,0
2a03:2880:f205:c5:face:b00c:0:167,2804:1b0:1900:9955:2347:6deb:7171:e846,TCP,443,39212,3268,38,293.39474391937256,7.929587673496556,8.277501801762417,0
2a03:2880:f205:c5:face:b00c:0:167,2804:1b0:1900:9955:2347:6deb:7171:e846,TLS,443,39212,5227,29,293.39532494544983,10.478404462337494,8.48833466442806,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2a03:2880:f205:c5:face:b00c:0:167,TCP,39212,443,2408,28,293.43757796287537,10.868058443069458,9.167708829829841,0
fe80::9962:d5a1:f90:6804,ff02::2,ICMPV6,,,1376,16,294.0134060382843,19.60089373588562,21.312447134941152,0
192.168.15.3,224.0.0.2,IGMP,,,960,16,294.01339888572693,19.600893259048462,21.312326575375092,0
192.168.15.3,224.0.0.251,MDNS,5353,5353,19250,147,293.9960880279541,2.0136718358079047,7.443958461952064,0
fe80::9962:d5a1:f90:6804,ff02::fb,MDNS,5353,5353,22190,147,293.9944541454315,2.013660644831723,7.444160461519725,0
192.168.15.3,224.0.0.252,LLMNR,61842,5355,74,1,0.0,0.0,,0
fe80::860b:bbff:fefd:fad8,ff02::1,ICMPV6,,,2346,15,293.7302129268646,20.980729494776046,15.28362971909778,0
192.168.15.3,224.0.0.252,LLMNR,61155,5355,74,1,0.0,0.0,,0
fe80::3e7c:3fff:fe78:30a6,ff02::2,ICMPV6,,,248,4,250.22819089889526,83.40939696629842,0.32294028335348196,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2600:1901:0:3296::,TLS,49386,443,235,2,0.00011181831359863281,0.00011181831359863281,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2600:1901:0:3296::,TCP,49386,443,172,2,0.025408029556274414,0.025408029556274414,,0
2600:1901:0:3296::,2804:1b0:1900:9955:2347:6deb:7171:e846,TCP,443,49386,172,2,6.318092346191406e-05,6.318092346191406e-05,,0
192.168.15.2,192.168.15.1,DNS,45924,53,166,2,5.0067901611328125e-06,5.0067901611328125e-06,,0
192.168.15.1,192.168.15.2,DNS,53,45924,182,2,0.00019216537475585938,0.00019216537475585938,,0
192.168.15.2,34.36.152.253,TCP,35100,443,602,9,4.287418842315674,0.5359273552894592,1.3901314010276318,0
34.36.152.253,192.168.15.2,TCP,443,35100,3204,6,4.267629146575928,0.8535258293151855,1.87138915580717,0
192.168.15.2,34.36.152.253,TLS,35100,443,1276,2,0.033689022064208984,0.033689022064208984,,0
34.36.152.253,192.168.15.2,TLS,443,35100,2801,3,0.20242691040039062,0.10121345520019531,0.1430002109000064,0
0.0.0.0,224.0.0.1,IGMP,,,180,3,250.88094210624695,125.44047105312347,2.4107997348231388e-05,0
fe80::3e7c:3fff:fe78:30a6,ff02::16,ICMPV6,,,1040,8,250.68399810791016,35.81199972970145,43.881980843461974,0
140.82.114.25,192.168.15.2,TLS,443,45890,458,5,240.00022506713867,60.00005626678467,0.0005602746313463202,0
192.168.15.2,140.82.114.25,TLS,45890,443,478,5,240.0002360343933,60.00005900859833,0.0006812755030194083,0
140.82.114.25,192.168.15.2,TCP,443,45890,330,5,239.9991328716278,59.99978321790695,0.0010533067019894901,0
192.168.15.2,162.159.134.234,TLS,36686,443,1697,9,259.682461977005,32.460307747125626,16.4163744311863,0
162.159.134.234,192.168.15.2,TCP,443,36686,594,9,259.68149304389954,32.46018663048744,16.417153173824953,0
162.159.134.234,192.168.15.2,TLS,443,36686,16576,73,292.4217531681061,4.061413238445918,4.8869718271663904,0
192.168.15.2,162.159.134.234,TCP,36686,443,4818,73,292.4217429161072,4.061413096057044,4.886972609487291,0
192.168.15.2,162.159.134.233,QUIC,43296,443,40595,60,6.658801078796387,0.11286103523383706,0.35119556930219475,0
162.159.134.233,192.168.15.2,QUIC,443,43296,25070,48,6.610059022903442,0.14063955367879666,0.39951930935737595,0
2800:3f0:4001:801::200a,2804:1b0:1900:9955:2347:6deb:7171:e846,TLS,443,55500,8429,39,269.5259339809418,7.092787736340573,10.690643113722695,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:801::200a,TCP,55500,443,2876,34,269.5067710876465,8.166871851140803,11.702237573585453,0
192.168.15.2,104.208.16.95,TLS,46494,443,6297,9,49.04185509681702,6.130231887102127,17.032120022602772,0
192.168.15.2,192.168.15.1,DNS,45039,53,184,2,4.0531158447265625e-06,4.0531158447265625e-06,,0
192.168.15.1,192.168.15.2,DNS,53,45039,423,2,0.013091802597045898,0.013091802597045898,,0
192.168.15.2,51.116.253.168,TCP,58414,443,1898,7,0.8680951595306396,0.14468252658843994,0.11206041962996283,0
104.208.16.95,192.168.15.2,TCP,443,46494,522,8,171.7318298816681,24.533118554524012,31.46945792454782,0
192.168.15.2,192.168.15.1,DNS,48873,53,186,2,4.0531158447265625e-06,4.0531158447265625e-06,,0
192.168.15.1,192.168.15.2,DNS,53,48873,554,2,0.00021386146545410156,0.00021386146545410156,,0
192.168.15.2,172.217.172.42,TCP,33980,443,13532,14,0.22494196891784668,0.0173032283782959,0.03618335846335032,0
172.217.172.42,192.168.15.2,TCP,443,33980,920,14,0.22783803939819336,0.017526003030630257,0.0273784797919222,0
192.168.15.2,172.217.172.42,TLS,33980,443,2485,4,0.20297002792358398,0.067656675974528,0.04212007506521487,0
51.116.253.168,192.168.15.2,TCP,443,58414,3152,4,0.8656949996948242,0.2885649998982747,0.13111328533738034,0
192.168.15.2,51.116.253.168,TLS,58414,443,2771,5,0.657418966293335,0.16435474157333374,0.10982686990943968,0
172.217.172.42,192.168.15.2,TLS,443,33980,1504,3,0.12235403060913086,0.06117701530456543,0.08640845729267069,0
104.208.16.95,192.168.15.2,TLS,443,46494,440,3,48.65189599990845,24.325947999954224,34.113170281274904,0
51.116.253.168,192.168.15.2,TLS,443,58414,2607,5,0.44897890090942383,0.11224472522735596,0.12906438604827244,0
